"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"Coupled-Contagion-And-FTA-v7.nlogo"
"experiment-09-fear-decreasing-small-world-limited-uptake-under-complex-contagion"
"12/13/2023 13:55:03:139 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","50"
"[run number]","beta-dist-denom","satisficing-radius","fear-lambda","init-infected","fear-threshold","step-increment","hide-duration","Network-Type","average-node-degree","satisficing?","type-of-fear-distribution","percent-nodes-swapped","num-turtles","Infection-Duration","Random-Seed?","Disease-Infection-Rate","color-patches?","percent-links-rewired","Fear-Mechanism","Fear-Infection-Rate","Fear-On?","random_seed_num","restore-hiding","Release-Mechanism","prob-release-damping","[step]","count-disease-I","count-fearful","count-hiding","percent-infected"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","0","5","0","0","0.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","1","8","2","0","0.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","2","10","3","0","1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","3","13","8","1","1.3"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","4","15","11","3","1.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","5","17","19","4","1.7000000000000002"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","6","23","23","8","2.3"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","7","21","26","9","2.9000000000000004"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","8","22","31","9","3.2"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","9","20","30","14","3.3000000000000003"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","10","23","40","19","3.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","11","27","44","24","4.3999999999999995"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","12","31","50","31","5.4"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","13","32","58","35","6.1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","14","34","58","34","6.6000000000000005"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","15","42","63","39","7.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","16","48","73","47","8.6"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","17","54","86","53","9.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","18","55","102","62","10.9"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","19","58","114","69","11.899999999999999"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","20","60","120","73","12.6"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","21","63","122","84","13.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","22","64","134","98","15"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","23","63","134","98","16.1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","24","64","153","115","17.299999999999997"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","25","63","174","123","18.2"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","26","69","178","127","19.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","27","63","204","148","20.1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","28","62","198","140","21.2"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","29","60","203","152","22.1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","30","59","215","162","23.200000000000003"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","31","59","223","174","24.099999999999998"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","32","56","239","195","25.1"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","33","57","223","187","25.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","34","53","203","172","26.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","35","48","193","164","26.900000000000002"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","36","45","187","162","27.700000000000003"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","37","45","188","157","28.599999999999998"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","38","46","200","169","29.7"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","39","43","191","160","30.099999999999998"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","40","39","191","158","30.4"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","41","39","201","165","30.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","42","37","205","173","31.4"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","43","29","205","178","31.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","44","21","187","163","31.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","45","23","182","165","32.4"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","46","23","166","152","32.7"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","47","22","170","158","33"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","48","19","170","160","33.300000000000004"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","49","19","157","148","33.4"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","50","21","150","143","33.900000000000006"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","51","16","151","143","34"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","52","16","155","144","34.300000000000004"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","53","15","154","146","34.5"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","54","13","162","149","34.599999999999994"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","55","14","156","145","34.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","56","9","160","152","34.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","57","8","158","150","34.8"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","58","7","161","155","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","59","5","156","150","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","60","4","159","153","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","61","2","168","161","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","62","2","167","163","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","63","2","161","158","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","64","0","156","154","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","65","0","157","157","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","66","0","156","156","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","67","0","160","160","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","68","0","156","156","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","69","0","159","159","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","70","0","145","145","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","71","0","150","150","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","72","0","151","151","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","73","0","144","144","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","74","0","154","154","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","75","0","140","140","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","76","0","143","143","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","77","0","136","136","35"
"1","1","0.01","1","5","1","5.0E-4","4","Small World","6","false","Anchor","1","1000","6","true","0.06","true","0.2","FTA","0.05","true","0","0","fixed-duration","200","78","0","138","138","35"
